a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
0.090992558,1.093526156,-0.631896588,0.301589502,0.407145698,0.775106448,1.810232554,2.573541033,-1.291787587,,-0.6569714,0.608749603,0.297837215,1.088971519,0.319453559,2.135288743,1.427086414,,1.202631006,0.558585646
-2.32138999,0.993092423,-0.897170009,0.112951133,1.27256708,0.040352826,-1.41826872,-0.273045843,-0.334125086,0.373378397,-2.339310197,-1.127503059,-0.490029022,,0.111082604,-0.611374921,1.100636159,1.310161338,0.524857906,-0.317331683
1.364860566,1.159657107,-1.308312863,-0.647563626,0.298446402,1.619651222,1.89560209,,,0.759136945,,3.056464274,0.301736017,-0.854219377,2.282892424,-0.364953824,0.674319405,1.575790177,0.629590115,
-0.150245217,-0.021052168,0.009268728,,-0.971430008,-0.009868621,-0.071680138,1.386088613,-0.685758286,0.090931762,,0.081545019,0.437131028,-1.126263037,-0.800260286,0.873802306,0.031557656,0.484107621,0.827236582,-0.284157033
0.039210485,-0.392676701,0.530777647,1.157981104,0.190998815,0.355596402,,-0.875273766,-0.382907132,0.325910838,,-0.544724296,0.784021651,2.043938619,,-1.134041312,-0.7747799,-0.79501665,-1.458432032,1.146148269
-0.781879134,-2.677742554,-0.19703387,0.696875842,0.124396768,-1.750114985,-0.221041704,1.406130362,,-1.457043395,-0.800050857,-0.766862828,-0.48556139,1.295295828,-0.674735944,0.718960421,-0.115690055,-1.414701347,0.397522575,0.450495962
-0.315675216,-0.467513835,,0.387740346,-1.054053942,,-0.433725849,-0.645011034,,-0.120740275,-0.813918806,-0.914338639,-1.036099033,1.084332169,-1.013372043,-0.701363453,-0.625026477,-0.971271302,-1.370021022,0.909502205
0.911584621,,-0.043599413,0.513412978,-0.322529906,-0.062736048,-0.330268632,0.028803881,-1.453365668,0.174429081,1.169460265,-0.802807751,0.692766453,-0.087774788,0.030513228,0.475186794,,-0.298821432,1.280973309,-0.798207954
0.204401413,-1.420511033,,0.204189168,0.579773075,-1.047448565,,-0.16291621,0.216745087,-1.422469024,0.181032219,-0.809760264,-1.000569454,-0.427993373,0.793126503,0.863965966,,-2.348465593,-0.695338359,1.151705833
1.109354143,-0.641524543,0.410675921,0.539740924,-0.887630574,-0.155403258,0.863010794,-0.563800619,-0.038211128,-0.92130489,0.286980556,0.338822501,0.579334159,-0.193929521,-0.015004041,-0.320429056,-1.250528616,-2.318846437,-1.600944927,0.703074604
0.893934175,-1.403838741,0.800223021,-1.353157545,0.465120123,,,-1.135974207,0.151807034,-0.809646804,,-0.30843516,1.49323481,-0.185118906,,,0.090701992,-1.08486828,-1.052594979,-2.027134048
0.116336385,0.058045669,-0.96346079,-0.071018509,-2.659873736,0.058375174,,,-2.152913026,0.792841948,-1.024938622,0.240773097,1.042174277,-0.746148833,-0.447953539,0.766101617,-0.996262475,-0.890897124,,0.409417007
0.422253912,1.101012291,,0.69002777,1.054401609,0.892858067,-1.284405259,-0.628699913,0.998341113,-0.189575614,1.256388453,-0.348109802,0.194809163,0.216540183,-0.690368502,0.646937645,0.08518746,1.144072891,0.289187805,-0.106364852
0.347471117,-1.751392454,1.087532565,1.169704845,-0.232423671,-0.122542841,0.718964378,0.274196013,-0.333783496,-0.312911696,1.139307037,-0.841933234,1.936965144,-1.360288719,-1.261450851,-0.171858654,-0.771114818,-0.654744182,-0.001460279,0.087847238
,1.081847808,0.41761415,-0.798878226,1.18252708,0.466478589,-0.275901963,0.094454339,1.281690202,-1.077669643,,0.349768337,0.723186379,-0.147152893,1.293036872,0.221449262,,1.732663845,0.646340291,1.067801477
-0.446192971,-1.175694861,,-0.80956558,-0.874193445,,0.224343079,0.868980025,-0.460826377,-1.26764286,-1.055583085,0.722555756,-0.528229549,-0.047845044,0.226721953,0.347449055,-1.258444629,-1.588639953,-0.836822661,
-0.558033335,-0.473897757,1.314946885,1.997768908,,0.348484757,0.332562267,0.1786248,0.476038706,1.456830694,0.941834032,-1.477718484,-0.479222587,1.4398202,-1.269630166,1.062253256,0.65292176,-0.12742175,0.323610929,0.193946747
1.73912224,-0.096378931,-0.424756534,-0.343284331,-0.071287606,0.166870576,-0.176501839,0.883193501,0.103176079,0.700194142,-0.098253876,0.705694263,0.879083278,-0.483312399,1.027413147,0.11518958,-0.353669099,-0.098506948,0.963581476,0.655970305
0.805057626,2.568674658,0.18675146,,1.702923349,1.896110272,-0.429571075,,,1.568596571,1.544589564,2.404911257,0.583601926,1.185284296,2.627618033,1.534971121,1.685756011,2.893432247,1.276509763,-1.541758302
-0.521785254,-1.255408173,0.020909895,-0.688219318,-0.492610797,-0.919104974,0.34958167,0.859505132,-1.622419515,-0.882862753,-0.476223965,1.069390545,-0.109988959,-1.325087391,0.032198719,1.261820362,-0.745974887,,-0.750799414,-0.771052837
-0.186280261,-0.858215889,-0.57935842,1.120042481,-0.4941318,-0.367094015,-0.215176284,0.584817431,0.742936818,-0.463007785,-0.92670405,-0.427056365,-0.184098314,0.39772437,-0.614920611,-0.683621681,0.952299946,0.591370694,-0.381480376,2.121275119
1.856077111,-0.717181636,,0.133497313,0.106712318,-0.939403084,-0.368450454,1.981404423,-1.27827265,-0.024847257,,,1.863458098,-0.328644238,0.746676511,1.20057218,-0.116954424,-0.374837879,0.196368623,0.509853194
-1.858874175,1.35844073,-1.252006337,0.98090023,0.276997666,0.396061267,1.297343383,-1.315690295,-0.721398326,0.482263275,-2.304740946,,-2.696573385,0.208087607,-0.715640446,0.234397726,,1.102787203,-1.424065339,-0.094422445
-0.490498121,-0.470758184,,0.075796445,-0.814772974,-0.114687766,,0.256753339,-0.67060848,-1.036742313,-0.845736891,1.395250816,0.380667199,-0.942201957,0.120011012,0.705938223,-0.727998697,-1.019255378,-0.795539519,
0.847856062,-0.283326051,0.117671205,0.564344453,-0.229705377,-0.51884815,,-0.651004413,0.224473801,-0.651441439,0.775489286,0.88160868,-0.546874281,0.250534658,0.116440816,-1.756108667,,,-0.06844677,0.336567657
1.796605517,-1.020230735,-0.212842646,0.676852528,-1.641912074,-1.171236411,-0.331377452,0.266870827,-1.826704183,-1.360231428,0.463646071,-0.916579445,1.383893628,0.621150212,-1.33504604,-0.283924058,-1.514635223,-1.484293887,-1.267876143,
-0.573484268,0.617957007,0.234306017,,-0.154832747,0.783928751,0.489722985,-0.22714195,-0.774300208,-0.932228625,0.621524181,,-0.463043264,0.423643276,-0.723749112,0.166333394,-0.128699041,-0.190295714,-0.130129161,1.321570436
,-1.051378319,2.146542564,-1.816805201,-0.352257461,-0.053641525,-0.747300789,1.064293436,0.278819242,0.726791119,,0.571640218,,,-1.624096567,0.914480238,,-0.884727085,-0.034304224,0.193219185
-0.736174452,0.396351589,0.059378175,1.290617564,0.470645885,0.687226581,-1.025031613,-0.339967758,0.526930903,0.257580362,0.454904665,1.089259091,-1.052631864,1.283869332,0.233293939,0.458842394,0.042687887,-0.171500353,0.040848646,1.544587298
0.131121655,-1.366287946,-0.801520591,1.461493287,1.031760719,0.584646099,0.375397878,0.289558931,0.423316499,-0.723849124,1.296543088,,0.919410331,0.343379719,2.630953235,,1.345722923,-0.630820547,1.27053682,-0.659891348
-0.206531779,0.501082019,-1.850846976,0.85267967,-0.690359976,1.647165936,-1.116157015,,0.640209004,0.514672102,-0.148877246,-0.219569274,-0.673226898,-0.025720229,,0.912950818,0.706270447,0.863624237,1.036011411,-0.980904381
-0.592118539,-0.623125095,,1.047374908,0.305981783,-1.742204379,0.753903609,0.561646686,,-1.114415436,,-0.834262209,-0.605653693,-0.948571973,0.199147364,-1.34133192,-0.169409638,0.875215584,1.0181438,0.367242507
0.2757682,-2.897338847,0.039283922,-0.547963884,1.635756334,-1.9940855,-0.817300881,-0.758417974,0.864731437,-1.775277316,1.757799967,-2.495225569,-0.128510729,1.717169216,-0.48974047,-0.945449151,1.378899956,-0.473163125,-0.397960952,0.940848855
-0.936137517,-0.968179561,0.605136301,-0.588042445,0.574125227,,-1.606017225,1.565576159,-0.172119529,0.032004099,-0.358382958,,0.349344453,1.134121767,0.651592999,0.917387933,0.496873235,-0.075742086,0.580185518,-0.744781923
,1.200191749,1.310180627,0.656361323,-0.601050204,1.552469926,1.079670197,1.162794657,-0.799048625,0.041441204,-0.513903185,-0.549294298,-0.746055344,-0.412337414,-0.027187385,-0.557742044,0.506412999,1.228642538,-0.010423234,
1.155248902,0.284318742,-0.293109024,-1.820173955,-0.782689863,0.099840044,-0.926379921,-0.083475717,-2.15068715,,-0.878606028,1.110218351,-0.161065681,-0.84086596,-0.641658519,0.03226974,-1.619141772,-0.159221352,0.981157178,0.46091363
0.32257323,-0.813770857,1.556755843,0.991367879,-0.065303427,-0.664855627,-0.264726388,1.561430863,1.091833563,-0.388997622,1.138462349,-0.968076568,-0.574095115,1.47569177,-1.443268129,0.813714623,-0.249275512,-0.808624948,0.803255381,-0.515315733
-0.203343888,0.578252401,0.227264423,-0.999109465,-0.350633529,0.2566987,-0.085619982,,-1.726284853,0.4626496,-1.564397256,0.618262216,-0.615997046,0.370550861,-0.676295636,-0.732150592,0.25216461,0.05030156,-0.129075739,0.786432331
-0.61616205,-0.144260804,-0.726367521,1.395052463,-1.832932857,,-1.302389753,-0.415780427,-1.445894134,-0.373944753,0.771607587,0.516487781,,-1.130085424,-0.365697056,0.601337015,-0.869226356,-0.624437377,-1.116378782,0.538200008
0.852698955,-0.145354655,-0.580477235,-1.06076747,,-0.986018444,0.390675321,1.592327838,1.180231693,0.741669934,0.74812994,0.689216353,1.459239646,1.344201216,0.506737944,1.978821522,0.572796358,1.321767971,2.336334583,0.109606147
-0.579370155,0.568946597,-0.217902091,-1.468916771,,0.056356811,,-0.459854475,-0.299246532,0.515375281,0.478834053,0.66186097,-0.162100706,-1.554245508,-1.105508765,-0.569260267,-0.218515388,1.399997787,0.441748563,-1.440869076
0.611896286,0.40362095,-0.34031309,-0.381757409,1.487999467,0.307608965,-0.314007988,-0.688050148,-0.673802688,0.800988097,0.18191155,-1.082658484,2.302423794,0.570246031,,0.355322592,0.603949641,0.547497184,,
-0.6213152,-1.092099363,0.423742765,,-1.102455397,-1.770829426,-0.365913586,1.078597057,-1.459037987,-0.143039597,0.04195004,-1.386522043,0.492484489,-1.716816671,-1.413451003,-0.035767643,-1.650433334,-0.927269671,-0.152470335,
0.781316664,-0.45856285,0.425577041,0.347643061,-0.957681811,0.159136964,,1.046663585,-1.116714121,-0.541377948,-0.002479312,-0.022806786,0.446662688,-0.347672991,-0.623648223,-0.345453118,-1.256553846,-1.143556069,-0.74022287,0.197634103
0.661100136,-1.423535529,0.494200363,-0.123747322,-0.494107442,-0.733157678,-1.840910011,0.129831359,-0.270166151,,0.161554807,,1.714046159,-0.824693207,-1.523203032,1.140973093,0.508783726,-0.600112415,0.733838979,1.854484681
,-0.02092819,-1.468131083,-2.789564376,,,-1.092338832,0.81680607,0.018812831,-0.869948495,-1.321827893,1.563998985,1.199209668,0.482642178,1.345362068,1.623194861,0.236239589,0.625959023,1.302756551,1.156092935
1.078068641,0.507699083,0.375425536,,,-0.254238763,-0.444094376,-1.727323033,-0.578403156,0.191887246,-0.972011253,0.367235742,1.65415271,-0.27240905,1.214959814,-2.201432938,-0.838657711,0.198913167,,0.129883216
-0.073259278,0.096438572,,-0.953561904,0.030589768,-0.069953053,1.717874753,-0.790144666,,,0.277126788,1.577980252,,-1.230528947,1.17421873,-0.454022131,-0.424673644,0.017166664,-0.259293082,
-1.059214736,,0.952103567,-0.174216458,0.318028125,,,1.185985811,1.184236448,1.063415738,-1.026733765,-1.554352303,-2.093279474,-1.047388736,-1.593143722,1.704440132,0.394935809,-0.484484349,-0.476336052,1.664431213
-0.619049201,0.452496264,-0.102672611,-0.418567394,0.227777791,0.391262749,1.645796978,-0.213675402,-0.187794967,1.569324511,0.357752911,0.842098409,,-0.443993603,1.370082502,1.220358303,0.266939412,-0.732151335,-0.489826129,0.187775608
0.982189568,0.114688276,,-0.685417148,0.747698395,1.380401971,-0.611696377,-0.493924267,0.60806699,0.447620827,-0.068344371,,1.68120711,0.021899021,0.361120342,0.17104612,1.873229049,0.604989525,0.92118257,-0.570209772
0.109758959,0.628105419,0.052442209,0.825319069,-0.351296368,0.358095631,-0.040070594,0.967516118,,0.778337743,0.882178423,1.983866146,0.911177879,,1.17418902,1.41152208,0.397659457,,0.244546549,
-0.050455568,1.160772475,-0.046811443,0.030854063,1.796357948,0.812899928,-0.232998265,0.959546381,2.147753778,0.002263583,1.944939645,1.106807778,1.521067699,-0.453122154,1.279673049,1.421078179,0.903557354,0.620310348,1.224989658,1.108773904
-3.218513323,-0.200141308,0.81039571,-1.255721074,,0.258615612,,-0.73298909,-1.269787254,0.474223462,-0.707565485,,-2.487338066,-0.19281595,-2.708231795,0.555134064,-0.566971577,-0.388948687,-3.033009158,-0.708174068
-0.900492328,0.809104599,-0.978841691,-0.218761219,,-0.487708156,0.029187524,1.140246723,0.306389033,-0.528952426,0.013249594,0.720850663,-1.182297061,-0.594682772,-0.431456346,0.908922485,-0.759961274,,0.809755258,
0.319681128,0.09326528,-0.488625512,0.090450541,-1.133556608,-0.066832861,-0.501151527,0.521696225,0.037266535,-0.910110063,-0.224781072,-0.88392936,1.055280553,0.037305348,0.104147747,-0.645235336,-1.34506154,-1.377430692,0.055438987,0.74401259
-0.706738607,0.643622442,0.576101963,-0.239180932,0.902545977,0.790546319,0.132790065,-0.330363136,1.763169119,0.58882196,1.753778165,0.407246759,-0.27288635,0.471895947,1.978832085,0.54996398,0.340869408,1.083743049,,1.12534646
-1.072762745,-0.634354072,-0.717638566,0.832153302,-0.495054544,0.250322051,1.210802255,-0.815853772,0.274276863,-0.523640125,-1.478850747,-0.717211514,,,0.324816614,,-0.283462226,-0.913569111,-1.49460337,0.422585104
0.505821416,-0.333959822,-0.890693242,-0.951371363,-0.224638711,-1.507399344,-0.514424699,,1.184050799,,-0.724105325,0.174490811,0.192279962,-0.878574531,-0.235047908,1.130965428,-0.198737804,0.602886539,-0.846356432,0.193208266
0.745550276,0.077063832,-0.605525217,-1.071574156,-1.450310158,0.245014576,-1.073361543,-0.496785903,-0.871011213,-0.387178158,0.376186238,-0.230764512,,-0.690668852,0.141553349,-1.427845453,0.313534616,0.614283507,-0.136437516,0.276259117
-0.465308474,1.19931305,,3.938415856,,0.757910381,-1.957015458,0.726351007,-1.209888847,1.98274126,0.028910635,0.754058486,,1.932519321,-0.730634207,1.845356055,-0.313348249,-0.429589445,,-0.586385962
-1.019331561,0.682030828,1.077107735,0.427733737,,0.533629133,1.32516726,0.577153381,-0.656584218,0.129065849,0.538523023,0.058266296,-0.083281163,-2.297703061,-1.004936271,0.669357456,-0.032792765,0.41087731,-0.928090018,-0.57441081
,-0.845958601,-0.754307266,0.408403765,0.548931143,0.079565742,-0.866843263,,-0.217877784,0.02271278,-0.210895505,-0.659741524,0.719527749,0.474756021,0.279796006,0.021115968,0.682814841,,0.364538188,0.146042431
0.697380175,-0.097879775,0.945211564,3.481224697,0.164220264,0.60507333,0.964852467,-0.321611327,0.923207598,0.880173356,0.936589002,-0.896244205,,-0.039674975,0.53990956,-0.004887473,1.571298383,-0.286743005,-0.00129319,0.050106402
0.401562801,-0.409966571,0.471669217,1.159473624,1.492849888,-0.899696196,0.311600908,0.844217774,0.870171115,1.097976743,1.190987973,,-0.102126446,0.743484227,-0.183555157,1.404665886,0.593667571,-0.357217707,0.662177386,1.128040974
0.139753452,0.689155973,-1.827220793,-0.679304124,-1.255065379,0.303532615,-0.092422047,0.956033929,-0.975636672,,-0.454883405,0.637699438,0.004129056,,-1.060830202,0.19942612,-1.833421158,-0.867256443,-1.08919819,-0.373670854
1.201850687,0.0549066,-0.424260719,,-0.091679473,-0.025206412,-0.059219675,-0.362366997,-2.115081296,0.852520768,1.53587595,0.768892489,1.017083906,-1.542850292,0.923396723,-0.939245811,-1.133208969,-0.608233831,0.293132186,-0.557157397
-0.359941231,-1.059080606,0.521316197,1.368328601,0.507842749,-1.261133328,-0.158431297,-0.68030863,0.113683186,-1.213907602,1.034527207,-0.539836194,-2.414918279,1.008947901,,-0.777674634,0.436407739,-0.556194136,0.192291889,-1.600478024
-0.442678174,-0.567120871,-1.056586431,-1.057686054,-0.785643847,-1.262597404,0.605200432,-0.530333303,-0.283283202,-1.103234564,-1.516024567,-1.116464448,-0.362164475,0.88358928,,-0.74984568,-0.520733402,0.416157211,-0.717351448,
-0.895507811,0.569637889,-1.886435065,-1.368797294,0.655554803,-1.100968961,0.008124986,1.033075159,-0.453586211,-0.635925885,,-0.633758368,0.123686259,-0.709024158,-0.030989115,1.549380867,0.451298543,-0.059700968,0.669164967,0.952103968
0.199263475,0.386975771,1.395258759,1.369679748,-1.589882765,-0.586484453,1.760722505,-1.110172365,-2.192496768,0.436750479,1.90815849,1.078380627,-0.528353873,0.666693235,0.529020496,-0.600978191,-0.234536488,0.45797632,-0.383419111,0.769825459
1.737024234,-0.430836313,0.611017406,-0.519066486,-0.047489702,-1.424088447,3.08162006,0.423396131,0.696537998,-0.617103133,0.300817,-1.342025611,,1.505952696,,0.719194501,0.172651122,-0.391385345,1.170639952,-0.450896847
0.211578101,0.139295713,2.192323941,-0.267134466,-0.046611697,0.154108138,1.080708735,0.037083828,-1.147131175,0.892138015,2.020859396,-1.063929286,-0.553870568,-0.22568506,0.039882586,,0.017820343,-0.226411474,0.840484841,0.780456029
0.260451537,0.797887006,-0.692031037,0.426811733,0.517877302,0.012126007,0.011317075,1.047296561,0.256235231,0.170996234,-0.287370307,-0.035047661,-0.148134869,-0.237873461,-0.464023395,0.360987183,1.560795278,1.476986535,1.117080997,0.641763538
2.077327334,-0.23675596,-0.332264603,-0.463232159,-1.276216007,0.085562244,-0.826975021,-0.713492297,-0.359031428,,0.614023922,1.044052478,1.97997745,-0.759224844,0.749725258,-1.610671689,-1.720955313,-1.732641992,-0.739044096,-1.387421668
-0.358537062,-1.072089619,,0.965617003,,-1.522216731,0.880457754,0.321854785,-1.308340439,-0.764456337,1.060701598,0.33959322,1.032003769,-0.261329276,-0.54893044,0.889602582,-0.240130459,-1.625259175,-1.426490645,-0.381907848
-0.217677729,0.109564838,0.295773792,1.54779359,-1.56748393,-0.00634411,0.387924692,0.116093772,-1.460869254,0.047178004,0.958505774,0.038863364,-0.918466457,0.292232093,-0.796409159,0.681686216,-0.99786952,-0.214071099,-1.193186478,-1.712911565
-1.349579072,0.42285135,0.383204181,-0.357760581,-0.290178205,0.527077904,0.2947872,-0.130574273,0.67763442,,-0.514065765,1.280885186,,0.350052053,-0.64212394,-0.056503271,0.274828556,-0.006423561,-0.711985428,0.273771475
,-0.93845748,0.714998541,-0.995347105,-0.720377935,-0.267253044,-0.333356288,-0.014349287,-1.557519851,1.215618067,0.402725307,0.880980878,1.167735704,0.190980889,,1.385193417,-0.202224533,-0.020850481,0.84964712,-0.951670788
,-0.223236246,,-0.94362202,-0.273031496,-0.085611345,-0.993836032,-1.850815787,-0.866631833,-0.804716206,-0.898466082,,,-0.985141088,-0.9838991,-1.961603815,1.193524744,0.004153961,-0.792848903,0.777511918
-2.191654161,-1.435640718,-0.758313583,-0.640276025,1.922150675,-0.653131278,0.254103496,-1.347139202,1.695441301,1.200089632,-0.094789456,-2.745325246,-2.621665662,-0.115497167,-1.075178356,-0.065610395,1.377229455,0.306143449,-1.797851907,-0.429237102
